id_sewa,nama_penyewa,barang_disewa,tanggal_sewa,tanggal_kembali,total_biaya
1551,Wati 922,TV Panasonic/LG 43 Inch,2023-08-29,2023-09-03,1500000
1552,Rina 701,Screen 2x3,2024-07-04,2024-07-09,1500000
1553,Rina 942,Epson 6000 Lumens,2025-03-14,2025-03-21,7000000
1554,Citra 333,TV Panasonic/LG 75 Inch,2023-04-28,2023-04-30,2400000
1555,Rina 116,TV Panasonic/LG 65 Inch,2026-03-03,2026-03-09,4200000
1556,Tono 721,TV Panasonic/LG 50 Inch,2026-02-28,2026-03-02,900000
1557,Joko 135,TV Panasonic/LG 43 Inch,2024-06-22,2024-06-29,2100000
1558,Santi 359,Screen 3x4,2023-12-02,2023-12-04,800000
1559,Zaki 135,TV Panasonic/LG 55 Inch,2024-12-17,2024-12-19,1100000
1560,Tono 656,TV Panasonic/LG 43 Inch,2024-12-09,2024-12-12,900000
1561,Gani 220,TV Panasonic/LG 55 Inch,2025-02-01,2025-02-03,1100000
1562,Zaki 706,TV Panasonic/LG 65 Inch,2025-01-15,2025-01-17,1400000
1563,Hana 738,TV Panasonic/LG 50 Inch,2023-04-25,2023-04-29,1800000
1564,Eko 464,TV Panasonic/LG 43 Inch,2025-09-01,2025-09-04,900000
1565,Budi 584,TV Panasonic/LG 50 Inch,2023-08-02,2023-08-04,900000
1566,Rina 542,TV Panasonic/LG 50 Inch,2025-11-28,2025-12-02,1800000
1567,Dewi 613,Screen 3x4,2026-01-05,2026-01-09,1600000
1568,Wati 986,TV Panasonic/LG 55 Inch,2023-07-08,2023-07-10,1100000
1569,Zaki 695,TV Panasonic/LG 43 Inch,2023-07-04,2023-07-06,600000
1570,Gani 519,Epson 6000 Lumens,2025-05-04,2025-05-11,7000000
1571,Joko 218,Epson 6000 Lumens,2024-06-21,2024-06-25,4000000
1572,Citra 739,TV Panasonic/LG 43 Inch,2023-04-16,2023-04-23,2100000
1573,Zaki 373,TV Panasonic/LG 50 Inch,2023-06-06,2023-06-13,3150000
1574,Dewi 214,TV Panasonic/LG 55 Inch,2024-08-20,2024-08-24,2200000
1575,Dewi 602,TV Panasonic/LG 55 Inch,2024-10-31,2024-11-04,2200000
1576,Dewi 904,TV Panasonic/LG 50 Inch,2024-08-20,2024-08-23,1350000
1577,Citra 445,TV Panasonic/LG 55 Inch,2024-12-23,2024-12-24,550000
1578,Wati 585,TV Panasonic/LG 55 Inch,2025-01-01,2025-01-02,550000
1579,Citra 739,TV Panasonic/LG 43 Inch,2025-09-24,2025-09-30,1800000
1580,Rina 195,TV Panasonic/LG 50 Inch,2023-04-01,2023-04-03,900000
1581,Andi 677,TV Panasonic/LG 43 Inch,2023-09-29,2023-10-06,2100000
1582,Joko 792,TV Panasonic/LG 75 Inch,2024-10-27,2024-10-30,3600000
1583,Gani 935,TV Panasonic/LG 50 Inch,2024-10-22,2024-10-26,1800000
1584,Citra 616,Epson 6000 Lumens,2023-09-20,2023-09-26,6000000
1585,Budi 327,TV Panasonic/LG 50 Inch,2026-02-24,2026-03-02,2700000
1586,Wati 317,TV Panasonic/LG 65 Inch,2025-04-23,2025-04-27,2800000
1587,Fani 417,Epson 6000 Lumens,2023-11-26,2023-11-28,2000000
1588,Citra 630,Screen 3x4,2024-10-09,2024-10-16,2800000
1589,Rina 712,TV Panasonic/LG 50 Inch,2023-04-13,2023-04-14,450000
1590,Zaki 228,Screen 2x3,2025-09-03,2025-09-10,2100000
1591,Eko 614,TV Panasonic/LG 43 Inch,2024-07-23,2024-07-27,1200000
1592,Zaki 784,Screen 3x4,2024-08-04,2024-08-05,400000
1593,Eko 719,TV Panasonic/LG 43 Inch,2024-03-18,2024-03-24,1800000
1594,Zaki 482,TV Panasonic/LG 55 Inch,2026-02-07,2026-02-12,2750000
1595,Andi 751,TV Panasonic/LG 50 Inch,2023-10-04,2023-10-08,1800000
1596,Hana 828,TV Panasonic/LG 50 Inch,2025-09-25,2025-09-29,1800000
1597,Budi 353,TV Panasonic/LG 55 Inch,2025-09-17,2025-09-24,3850000
1598,Eko 198,Epson 6000 Lumens,2023-09-17,2023-09-19,2000000
1599,Tono 445,Screen 2x3,2024-02-25,2024-03-02,1800000
1600,Dewi 656,TV Panasonic/LG 50 Inch,2024-01-10,2024-01-13,1350000
1601,Tono 752,TV Panasonic/LG 43 Inch,2023-04-15,2023-04-20,1500000
1602,Andi 226,TV Panasonic/LG 43 Inch,2025-02-23,2025-03-01,1800000
1603,Andi 519,Screen 2x3,2025-09-12,2025-09-17,1500000
1604,Gani 330,TV Panasonic/LG 43 Inch,2025-11-27,2025-12-02,1500000
1605,Budi 953,Epson 6000 Lumens,2024-03-20,2024-03-25,5000000
1606,Dewi 775,Screen 2x3,2025-07-18,2025-07-22,1200000
1607,Andi 448,TV Panasonic/LG 65 Inch,2025-07-20,2025-07-24,2800000
1608,Santi 863,TV Panasonic/LG 43 Inch,2024-08-03,2024-08-09,1800000
1609,Fani 962,TV Panasonic/LG 55 Inch,2023-09-03,2023-09-08,2750000
1610,Iwan 472,TV Panasonic/LG 50 Inch,2023-11-06,2023-11-09,1350000
1611,Andi 995,Epson 6000 Lumens,2025-05-15,2025-05-20,5000000
1612,Joko 532,TV Panasonic/LG 55 Inch,2026-01-07,2026-01-10,1650000
1613,Eko 120,TV Panasonic/LG 43 Inch,2026-01-03,2026-01-04,300000
1614,Santi 243,TV Panasonic/LG 50 Inch,2024-04-30,2024-05-03,1350000
1615,Hana 672,Epson 6000 Lumens,2026-03-22,2026-03-27,5000000
1616,Budi 802,Epson 6000 Lumens,2025-07-12,2025-07-19,7000000
1617,Dewi 185,Screen 3x4,2025-06-03,2025-06-04,400000
1618,Santi 390,TV Panasonic/LG 50 Inch,2023-06-23,2023-06-29,2700000
1619,Fani 567,Screen 2x3,2026-01-29,2026-02-03,1500000
1620,Eko 217,TV Panasonic/LG 65 Inch,2023-11-15,2023-11-22,4900000
1621,Hana 683,TV Panasonic/LG 43 Inch,2025-05-08,2025-05-14,1800000
1622,Joko 276,TV Panasonic/LG 43 Inch,2023-04-05,2023-04-10,1500000
1623,Tono 230,TV Panasonic/LG 43 Inch,2023-02-22,2023-03-01,2100000
1624,Citra 824,TV Panasonic/LG 65 Inch,2025-03-22,2025-03-23,700000
1625,Rina 267,Screen 3x4,2023-08-10,2023-08-16,2400000
1626,Eko 816,TV Panasonic/LG 50 Inch,2023-09-16,2023-09-23,3150000
1627,Tono 925,TV Panasonic/LG 65 Inch,2025-10-21,2025-10-23,1400000
1628,Gani 632,TV Panasonic/LG 50 Inch,2025-03-10,2025-03-14,1800000
1629,Santi 425,TV Panasonic/LG 55 Inch,2025-05-13,2025-05-19,3300000
1630,Hana 515,TV Panasonic/LG 43 Inch,2026-01-16,2026-01-21,1500000
1631,Wati 550,TV Panasonic/LG 50 Inch,2025-01-10,2025-01-14,1800000
1632,Iwan 177,Screen 2x3,2025-09-27,2025-10-02,1500000
1633,Dewi 618,Screen 2x3,2025-02-15,2025-02-21,1800000
1634,Citra 757,TV Panasonic/LG 75 Inch,2025-11-27,2025-11-30,3600000
1635,Budi 203,TV Panasonic/LG 65 Inch,2024-08-13,2024-08-17,2800000
1636,Andi 335,TV Panasonic/LG 50 Inch,2024-12-16,2024-12-23,3150000
1637,Eko 861,Screen 3x4,2025-03-05,2025-03-08,1200000
1638,Tono 805,TV Panasonic/LG 55 Inch,2023-07-07,2023-07-12,2750000
1639,Rina 608,Epson 6000 Lumens,2024-12-31,2025-01-03,3000000
1640,Zaki 409,TV Panasonic/LG 50 Inch,2025-02-10,2025-02-12,900000
1641,Eko 878,Epson 6000 Lumens,2025-10-02,2025-10-03,1000000
1642,Wati 504,TV Panasonic/LG 43 Inch,2023-03-29,2023-04-04,1800000
1643,Zaki 807,Screen 2x3,2024-03-01,2024-03-02,300000
1644,Wati 150,TV Panasonic/LG 43 Inch,2025-07-03,2025-07-07,1200000
1645,Zaki 308,TV Panasonic/LG 65 Inch,2023-02-14,2023-02-19,3500000
1646,Fani 252,TV Panasonic/LG 65 Inch,2026-03-17,2026-03-18,700000
1647,Eko 286,TV Panasonic/LG 50 Inch,2025-08-05,2025-08-07,900000
1648,Budi 437,TV Panasonic/LG 55 Inch,2025-10-28,2025-11-04,3850000
1649,Hana 980,TV Panasonic/LG 65 Inch,2026-01-18,2026-01-25,4900000
1650,Wati 419,Screen 3x4,2023-12-09,2023-12-13,1600000
1651,Santi 736,Screen 2x3,2025-10-31,2025-11-03,900000
1652,Eko 375,Epson 6000 Lumens,2024-11-13,2024-11-14,1000000
1653,Gani 585,Epson 6000 Lumens,2023-04-12,2023-04-14,2000000
1654,Tono 947,TV Panasonic/LG 43 Inch,2025-04-14,2025-04-19,1500000
1655,Gani 114,Screen 2x3,2025-02-16,2025-02-18,600000
1656,Budi 242,Epson 6000 Lumens,2024-10-29,2024-11-03,5000000
1657,Hana 816,TV Panasonic/LG 43 Inch,2023-05-04,2023-05-10,1800000
1658,Rina 328,TV Panasonic/LG 43 Inch,2023-08-08,2023-08-10,600000
1659,Tono 429,TV Panasonic/LG 43 Inch,2023-06-29,2023-07-02,900000
1660,Tono 597,TV Panasonic/LG 50 Inch,2024-12-25,2024-12-29,1800000
1661,Tono 370,Epson 6000 Lumens,2026-01-19,2026-01-23,4000000
1662,Andi 821,Epson 6000 Lumens,2023-06-26,2023-07-03,7000000
1663,Eko 659,Epson 6000 Lumens,2023-10-07,2023-10-12,5000000
1664,Fani 393,Screen 3x4,2023-08-11,2023-08-13,800000
1665,Hana 207,TV Panasonic/LG 43 Inch,2023-06-18,2023-06-19,300000
1666,Iwan 846,TV Panasonic/LG 43 Inch,2023-02-14,2023-02-15,300000
1667,Andi 928,Epson 6000 Lumens,2023-09-24,2023-09-26,2000000
1668,Joko 882,TV Panasonic/LG 50 Inch,2025-03-23,2025-03-26,1350000
1669,Rina 188,Screen 3x4,2025-05-06,2025-05-07,400000
1670,Eko 984,Screen 3x4,2024-12-27,2024-12-30,1200000
1671,Gani 132,TV Panasonic/LG 43 Inch,2025-07-20,2025-07-23,900000
1672,Dewi 193,TV Panasonic/LG 65 Inch,2024-10-26,2024-10-28,1400000
1673,Andi 201,Epson 6000 Lumens,2023-05-27,2023-06-01,5000000
1674,Budi 133,Screen 3x4,2025-06-14,2025-06-18,1600000
1675,Joko 560,Epson 6000 Lumens,2024-09-11,2024-09-17,6000000
1676,Rina 320,Epson 6000 Lumens,2024-09-05,2024-09-12,7000000
1677,Iwan 670,TV Panasonic/LG 43 Inch,2025-07-27,2025-07-28,300000
1678,Eko 398,TV Panasonic/LG 55 Inch,2024-07-22,2024-07-23,550000
1679,Andi 911,TV Panasonic/LG 43 Inch,2024-08-14,2024-08-16,600000
1680,Joko 534,Epson 6000 Lumens,2024-04-11,2024-04-16,5000000
1681,Zaki 510,Screen 2x3,2023-01-30,2023-02-01,600000
1682,Joko 453,TV Panasonic/LG 55 Inch,2024-08-01,2024-08-07,3300000
1683,Gani 178,TV Panasonic/LG 43 Inch,2025-06-18,2025-06-21,900000
1684,Tono 996,Screen 2x3,2024-07-19,2024-07-26,2100000
1685,Joko 388,Screen 3x4,2023-05-25,2023-06-01,2800000
1686,Fani 382,Screen 2x3,2024-07-15,2024-07-18,900000
1687,Iwan 816,Screen 3x4,2026-01-30,2026-02-03,1600000
1688,Dewi 246,TV Panasonic/LG 43 Inch,2024-09-02,2024-09-03,300000
1689,Hana 795,TV Panasonic/LG 43 Inch,2026-04-02,2026-04-06,1200000
1690,Gani 282,TV Panasonic/LG 50 Inch,2024-10-29,2024-11-03,2250000
1691,Wati 743,TV Panasonic/LG 43 Inch,2026-01-16,2026-01-19,900000
1692,Iwan 526,Screen 3x4,2023-05-05,2023-05-09,1600000
1693,Dewi 293,Screen 2x3,2024-03-07,2024-03-08,300000
1694,Citra 336,TV Panasonic/LG 43 Inch,2024-09-06,2024-09-09,900000
1695,Budi 867,TV Panasonic/LG 75 Inch,2023-01-06,2023-01-09,3600000
1696,Wati 178,Epson 6000 Lumens,2025-08-16,2025-08-22,6000000
1697,Budi 886,TV Panasonic/LG 55 Inch,2023-07-01,2023-07-07,3300000
1698,Budi 773,Screen 3x4,2024-03-25,2024-03-27,800000
1699,Budi 355,TV Panasonic/LG 50 Inch,2023-11-30,2023-12-03,1350000
1700,Dewi 687,Epson 6000 Lumens,2025-07-21,2025-07-25,4000000
1701,Santi 107,TV Panasonic/LG 55 Inch,2025-04-11,2025-04-17,3300000
1702,Hana 603,TV Panasonic/LG 55 Inch,2024-08-05,2024-08-09,2200000
1703,Wati 569,TV Panasonic/LG 55 Inch,2024-02-08,2024-02-10,1100000
1704,Dewi 883,TV Panasonic/LG 50 Inch,2025-10-31,2025-11-05,2250000
1705,Rina 236,Screen 2x3,2024-05-13,2024-05-18,1500000
1706,Hana 906,TV Panasonic/LG 43 Inch,2024-11-28,2024-12-04,1800000
1707,Zaki 357,Screen 2x3,2025-02-12,2025-02-16,1200000
1708,Zaki 280,TV Panasonic/LG 50 Inch,2024-07-10,2024-07-14,1800000
1709,Joko 765,Epson 6000 Lumens,2026-01-03,2026-01-10,7000000
1710,Zaki 381,TV Panasonic/LG 43 Inch,2023-01-04,2023-01-09,1500000
1711,Eko 555,TV Panasonic/LG 50 Inch,2026-02-26,2026-03-01,1350000
1712,Tono 723,Epson 6000 Lumens,2025-09-29,2025-10-04,5000000
1713,Citra 575,Epson 6000 Lumens,2023-10-10,2023-10-16,6000000
1714,Hana 718,Screen 2x3,2024-02-22,2024-02-23,300000
1715,Iwan 988,Epson 6000 Lumens,2025-05-01,2025-05-07,6000000
1716,Santi 536,Screen 3x4,2023-10-25,2023-10-30,2000000
1717,Santi 718,Epson 6000 Lumens,2023-12-09,2023-12-13,4000000
1718,Joko 578,Screen 2x3,2025-02-17,2025-02-24,2100000
1719,Joko 371,TV Panasonic/LG 65 Inch,2023-03-01,2023-03-05,2800000
1720,Dewi 661,TV Panasonic/LG 50 Inch,2026-01-10,2026-01-13,1350000
1721,Joko 936,TV Panasonic/LG 65 Inch,2023-09-15,2023-09-19,2800000
1722,Citra 449,Epson 6000 Lumens,2023-01-15,2023-01-20,5000000
1723,Rina 107,Screen 2x3,2023-07-08,2023-07-09,300000
1724,Andi 354,Screen 2x3,2023-01-20,2023-01-22,600000
1725,Joko 921,Epson 6000 Lumens,2025-10-21,2025-10-22,1000000
1726,Santi 161,TV Panasonic/LG 43 Inch,2024-11-16,2024-11-23,2100000
1727,Fani 933,TV Panasonic/LG 43 Inch,2024-08-09,2024-08-15,1800000
1728,Gani 226,TV Panasonic/LG 55 Inch,2025-05-01,2025-05-04,1650000
1729,Iwan 615,TV Panasonic/LG 55 Inch,2026-03-18,2026-03-21,1650000
1730,Tono 669,Screen 3x4,2025-05-22,2025-05-24,800000
1731,Eko 918,TV Panasonic/LG 55 Inch,2026-03-04,2026-03-07,1650000
1732,Rina 732,TV Panasonic/LG 50 Inch,2025-08-20,2025-08-21,450000
1733,Iwan 189,TV Panasonic/LG 43 Inch,2023-06-22,2023-06-25,900000
1734,Dewi 702,Screen 2x3,2026-01-30,2026-02-05,1800000
1735,Rina 281,TV Panasonic/LG 50 Inch,2025-01-13,2025-01-14,450000
1736,Eko 927,TV Panasonic/LG 55 Inch,2026-04-21,2026-04-24,1650000
1737,Iwan 983,Screen 2x3,2024-01-03,2024-01-09,1800000
1738,Fani 959,TV Panasonic/LG 43 Inch,2023-08-12,2023-08-13,300000
1739,Wati 880,TV Panasonic/LG 55 Inch,2024-01-30,2024-02-01,1100000
1740,Hana 964,TV Panasonic/LG 50 Inch,2024-03-07,2024-03-11,1800000
1741,Budi 294,TV Panasonic/LG 55 Inch,2023-05-23,2023-05-27,2200000
1742,Santi 248,Epson 6000 Lumens,2026-02-17,2026-02-19,2000000
1743,Joko 283,Screen 3x4,2024-10-28,2024-10-30,800000
1744,Dewi 339,TV Panasonic/LG 55 Inch,2025-04-02,2025-04-06,2200000
1745,Zaki 446,Screen 2x3,2025-09-05,2025-09-06,300000
1746,Iwan 947,TV Panasonic/LG 43 Inch,2025-02-26,2025-03-03,1500000
1747,Dewi 618,TV Panasonic/LG 43 Inch,2025-12-14,2025-12-21,2100000
1748,Eko 823,Epson 6000 Lumens,2023-01-10,2023-01-13,3000000
1749,Joko 245,TV Panasonic/LG 50 Inch,2026-03-20,2026-03-26,2700000
1750,Dewi 981,Screen 2x3,2025-01-01,2025-01-02,300000
1751,Budi 216,Screen 2x3,2023-06-21,2023-06-24,900000
1752,Wati 790,TV Panasonic/LG 55 Inch,2023-04-20,2023-04-25,2750000
1753,Tono 693,Epson 6000 Lumens,2024-11-07,2024-11-13,6000000
1754,Iwan 516,TV Panasonic/LG 43 Inch,2026-04-13,2026-04-17,1200000
1755,Fani 265,TV Panasonic/LG 43 Inch,2024-01-07,2024-01-08,300000
1756,Andi 370,TV Panasonic/LG 55 Inch,2023-11-17,2023-11-23,3300000
1757,Hana 598,TV Panasonic/LG 50 Inch,2023-07-16,2023-07-20,1800000
1758,Tono 371,TV Panasonic/LG 65 Inch,2026-04-06,2026-04-07,700000
1759,Fani 148,Epson 6000 Lumens,2025-06-26,2025-07-02,6000000
1760,Wati 173,Screen 3x4,2023-08-14,2023-08-19,2000000
1761,Eko 391,TV Panasonic/LG 43 Inch,2025-04-14,2025-04-15,300000
1762,Andi 197,TV Panasonic/LG 50 Inch,2024-09-04,2024-09-07,1350000
1763,Santi 338,TV Panasonic/LG 43 Inch,2024-04-21,2024-04-28,2100000
1764,Joko 255,TV Panasonic/LG 43 Inch,2025-11-18,2025-11-20,600000
1765,Iwan 590,Epson 6000 Lumens,2024-09-12,2024-09-14,2000000
1766,Dewi 216,TV Panasonic/LG 43 Inch,2025-12-20,2025-12-24,1200000
1767,Andi 394,TV Panasonic/LG 43 Inch,2024-11-10,2024-11-17,2100000
1768,Rina 632,Screen 2x3,2024-08-04,2024-08-05,300000
1769,Zaki 813,Epson 6000 Lumens,2025-04-09,2025-04-16,7000000
1770,Fani 309,TV Panasonic/LG 50 Inch,2024-09-18,2024-09-25,3150000
1771,Santi 687,TV Panasonic/LG 75 Inch,2025-08-08,2025-08-13,6000000
1772,Budi 869,TV Panasonic/LG 50 Inch,2026-02-17,2026-02-23,2700000
1773,Wati 740,TV Panasonic/LG 43 Inch,2023-07-21,2023-07-24,900000
1774,Eko 559,TV Panasonic/LG 50 Inch,2026-04-01,2026-04-07,2700000
1775,Zaki 123,Screen 3x4,2024-06-15,2024-06-16,400000
1776,Santi 969,TV Panasonic/LG 43 Inch,2025-12-14,2025-12-17,900000
1777,Iwan 753,Screen 2x3,2025-06-08,2025-06-11,900000
1778,Gani 201,Screen 3x4,2023-08-15,2023-08-16,400000
1779,Iwan 902,TV Panasonic/LG 50 Inch,2024-03-09,2024-03-16,3150000
1780,Zaki 302,TV Panasonic/LG 43 Inch,2023-02-14,2023-02-20,1800000
1781,Gani 669,TV Panasonic/LG 43 Inch,2025-11-08,2025-11-14,1800000
1782,Fani 218,TV Panasonic/LG 50 Inch,2024-04-21,2024-04-24,1350000
1783,Fani 741,TV Panasonic/LG 43 Inch,2024-10-08,2024-10-09,300000
1784,Andi 263,TV Panasonic/LG 43 Inch,2025-06-12,2025-06-17,1500000
1785,Eko 624,TV Panasonic/LG 65 Inch,2024-09-08,2024-09-10,1400000
1786,Eko 673,Screen 2x3,2023-05-20,2023-05-26,1800000
1787,Budi 640,TV Panasonic/LG 43 Inch,2024-11-24,2024-11-29,1500000
1788,Zaki 802,TV Panasonic/LG 43 Inch,2023-02-23,2023-02-28,1500000
1789,Gani 719,TV Panasonic/LG 50 Inch,2024-03-16,2024-03-21,2250000
1790,Andi 525,TV Panasonic/LG 50 Inch,2025-12-01,2025-12-04,1350000
1791,Andi 425,TV Panasonic/LG 50 Inch,2023-06-27,2023-07-01,1800000
1792,Wati 282,TV Panasonic/LG 43 Inch,2023-09-09,2023-09-15,1800000
1793,Citra 546,TV Panasonic/LG 50 Inch,2023-07-20,2023-07-27,3150000
1794,Budi 669,Screen 3x4,2024-05-06,2024-05-13,2800000
1795,Hana 813,TV Panasonic/LG 50 Inch,2023-01-28,2023-02-02,2250000
1796,Eko 796,TV Panasonic/LG 43 Inch,2025-03-26,2025-03-28,600000
1797,Tono 979,TV Panasonic/LG 50 Inch,2025-12-20,2025-12-24,1800000
1798,Gani 278,TV Panasonic/LG 50 Inch,2024-07-27,2024-07-30,1350000
1799,Eko 877,TV Panasonic/LG 55 Inch,2024-04-27,2024-05-04,3850000
1800,Santi 502,Epson 6000 Lumens,2024-11-15,2024-11-17,2000000
1801,Tono 439,Epson 6000 Lumens,2023-08-20,2023-08-23,3000000
1802,Fani 151,TV Panasonic/LG 65 Inch,2025-11-05,2025-11-06,700000
1803,Citra 440,Screen 2x3,2024-07-16,2024-07-21,1500000
1804,Iwan 621,Epson 6000 Lumens,2023-05-23,2023-05-25,2000000
1805,Gani 180,Screen 3x4,2023-02-21,2023-02-28,2800000
1806,Rina 119,TV Panasonic/LG 55 Inch,2025-12-20,2025-12-21,550000
1807,Citra 734,Screen 2x3,2026-02-08,2026-02-11,900000
1808,Zaki 758,TV Panasonic/LG 43 Inch,2024-06-20,2024-06-26,1800000
1809,Andi 870,TV Panasonic/LG 55 Inch,2025-02-07,2025-02-14,3850000
1810,Citra 912,TV Panasonic/LG 55 Inch,2024-06-17,2024-06-18,550000
1811,Wati 462,TV Panasonic/LG 50 Inch,2025-05-14,2025-05-20,2700000
1812,Citra 659,Screen 2x3,2025-01-18,2025-01-24,1800000
1813,Iwan 377,TV Panasonic/LG 55 Inch,2024-03-30,2024-04-03,2200000
1814,Budi 893,Screen 3x4,2025-04-10,2025-04-12,800000
1815,Santi 224,Screen 2x3,2025-01-16,2025-01-18,600000
1816,Hana 922,TV Panasonic/LG 43 Inch,2026-02-02,2026-02-08,1800000
1817,Eko 578,TV Panasonic/LG 55 Inch,2023-01-28,2023-01-29,550000
1818,Budi 476,TV Panasonic/LG 55 Inch,2023-08-28,2023-09-03,3300000
1819,Gani 253,TV Panasonic/LG 43 Inch,2023-03-25,2023-03-30,1500000
1820,Budi 284,Epson 6000 Lumens,2024-08-26,2024-08-30,4000000
1821,Wati 127,TV Panasonic/LG 55 Inch,2024-02-05,2024-02-06,550000
1822,Gani 934,Screen 2x3,2026-03-05,2026-03-06,300000
1823,Citra 520,Screen 2x3,2024-08-18,2024-08-20,600000
1824,Fani 156,Screen 2x3,2025-07-19,2025-07-20,300000
1825,Fani 711,Epson 6000 Lumens,2024-01-24,2024-01-29,5000000
1826,Eko 840,Epson 6000 Lumens,2023-10-29,2023-11-04,6000000
1827,Zaki 396,Epson 6000 Lumens,2023-11-11,2023-11-17,6000000
1828,Budi 650,Epson 6000 Lumens,2024-11-08,2024-11-13,5000000
1829,Wati 315,TV Panasonic/LG 55 Inch,2024-09-23,2024-09-28,2750000
1830,Andi 722,TV Panasonic/LG 50 Inch,2025-04-08,2025-04-11,1350000
1831,Santi 738,TV Panasonic/LG 65 Inch,2024-11-12,2024-11-14,1400000
1832,Rina 620,TV Panasonic/LG 50 Inch,2024-12-31,2025-01-01,450000
1833,Joko 448,Screen 3x4,2024-09-07,2024-09-10,1200000
1834,Eko 768,TV Panasonic/LG 50 Inch,2024-01-22,2024-01-29,3150000
1835,Eko 975,TV Panasonic/LG 50 Inch,2023-12-08,2023-12-12,1800000
1836,Santi 719,TV Panasonic/LG 55 Inch,2024-10-10,2024-10-17,3850000
1837,Rina 695,TV Panasonic/LG 50 Inch,2023-04-21,2023-04-28,3150000
1838,Rina 262,TV Panasonic/LG 43 Inch,2024-05-09,2024-05-11,600000
1839,Eko 432,TV Panasonic/LG 55 Inch,2024-01-28,2024-02-04,3850000
1840,Dewi 238,Epson 6000 Lumens,2025-06-13,2025-06-18,5000000
1841,Joko 505,TV Panasonic/LG 55 Inch,2025-02-08,2025-02-09,550000
1842,Citra 475,TV Panasonic/LG 50 Inch,2024-06-27,2024-07-01,1800000
1843,Fani 637,TV Panasonic/LG 50 Inch,2024-03-05,2024-03-09,1800000
1844,Tono 303,Epson 6000 Lumens,2023-05-04,2023-05-11,7000000
1845,Zaki 951,TV Panasonic/LG 55 Inch,2024-08-24,2024-08-28,2200000
1846,Rina 691,TV Panasonic/LG 50 Inch,2024-08-01,2024-08-08,3150000
1847,Budi 183,TV Panasonic/LG 43 Inch,2023-10-08,2023-10-13,1500000
1848,Budi 953,Epson 6000 Lumens,2023-10-30,2023-11-03,4000000
1849,Hana 310,TV Panasonic/LG 55 Inch,2025-01-24,2025-01-28,2200000
1850,Fani 745,Screen 3x4,2023-03-19,2023-03-26,2800000
1851,Fani 883,TV Panasonic/LG 75 Inch,2025-07-04,2025-07-07,3600000
1852,Hana 142,TV Panasonic/LG 43 Inch,2023-11-09,2023-11-14,1500000
1853,Fani 829,TV Panasonic/LG 65 Inch,2023-09-24,2023-10-01,4900000
1854,Andi 147,TV Panasonic/LG 55 Inch,2023-02-05,2023-02-06,550000
1855,Budi 260,Screen 2x3,2023-11-14,2023-11-21,2100000
1856,Joko 472,TV Panasonic/LG 43 Inch,2024-01-27,2024-02-01,1500000
1857,Budi 972,Screen 2x3,2023-08-19,2023-08-26,2100000
1858,Zaki 985,Screen 3x4,2025-04-22,2025-04-26,1600000
1859,Dewi 898,TV Panasonic/LG 55 Inch,2024-04-20,2024-04-27,3850000
1860,Joko 496,TV Panasonic/LG 50 Inch,2025-04-24,2025-04-26,900000
1861,Fani 819,TV Panasonic/LG 55 Inch,2023-07-16,2023-07-18,1100000
1862,Iwan 639,Epson 6000 Lumens,2023-07-11,2023-07-13,2000000
1863,Budi 752,Screen 2x3,2024-09-14,2024-09-16,600000
1864,Budi 666,TV Panasonic/LG 55 Inch,2025-06-24,2025-06-29,2750000
1865,Santi 458,TV Panasonic/LG 50 Inch,2024-07-26,2024-07-31,2250000
1866,Citra 313,Screen 3x4,2023-11-24,2023-12-01,2800000
1867,Wati 139,Screen 3x4,2025-09-05,2025-09-12,2800000
1868,Santi 552,TV Panasonic/LG 43 Inch,2023-09-13,2023-09-20,2100000
1869,Santi 209,TV Panasonic/LG 55 Inch,2024-11-13,2024-11-16,1650000
1870,Joko 108,Screen 2x3,2024-10-24,2024-10-25,300000
1871,Fani 423,Epson 6000 Lumens,2023-03-27,2023-04-01,5000000
1872,Eko 917,TV Panasonic/LG 43 Inch,2025-11-25,2025-12-01,1800000
1873,Andi 374,Epson 6000 Lumens,2024-08-03,2024-08-09,6000000
1874,Gani 305,Epson 6000 Lumens,2024-04-22,2024-04-25,3000000
1875,Budi 468,TV Panasonic/LG 55 Inch,2025-08-09,2025-08-15,3300000
1876,Zaki 966,TV Panasonic/LG 43 Inch,2023-10-09,2023-10-13,1200000
1877,Eko 457,Epson 6000 Lumens,2024-11-10,2024-11-14,4000000
1878,Hana 709,Screen 2x3,2023-04-30,2023-05-01,300000
1879,Zaki 252,TV Panasonic/LG 43 Inch,2025-12-04,2025-12-07,900000
1880,Andi 317,TV Panasonic/LG 55 Inch,2024-03-10,2024-03-12,1100000
1881,Eko 706,TV Panasonic/LG 43 Inch,2024-07-27,2024-07-31,1200000
1882,Citra 517,TV Panasonic/LG 55 Inch,2025-07-27,2025-07-30,1650000
1883,Santi 372,TV Panasonic/LG 50 Inch,2026-02-08,2026-02-15,3150000
1884,Santi 475,Screen 3x4,2023-10-17,2023-10-23,2400000
1885,Gani 659,Screen 3x4,2024-07-17,2024-07-21,1600000
1886,Rina 693,Epson 6000 Lumens,2025-10-18,2025-10-25,7000000
1887,Andi 951,Epson 6000 Lumens,2024-04-26,2024-05-01,5000000
1888,Gani 790,Epson 6000 Lumens,2023-12-16,2023-12-22,6000000
1889,Rina 404,Screen 2x3,2025-11-02,2025-11-04,600000
